area_type,availability,location,total_sqft,bath,balcony,price,bhk,price_per_sqft
Super built-up  Area,19-Dec,Electronic City Phase II,1056.0,2.0,1.0,39.07,2.0,3699.810606060606
Plot  Area,Ready To Move,Chikka Tirupathi,2600.0,5.0,3.0,120.0,4.0,4615.384615384615
Built-up  Area,Ready To Move,Uttarahalli,1440.0,2.0,3.0,62.0,3.0,4305.555555555556
Super built-up  Area,Ready To Move,Lingadheeranahalli,1521.0,3.0,1.0,95.0,3.0,6245.890861275477
Super built-up  Area,Ready To Move,Kothanur,1200.0,2.0,1.0,51.0,2.0,4250.0
Super built-up  Area,Ready To Move,Whitefield,1170.0,2.0,1.0,38.0,2.0,3247.863247863248
Super built-up  Area,18-May,Old Airport Road,2732.0,4.0,2.0,204.0,4.0,7467.0571010248905
Super built-up  Area,Ready To Move,Rajaji Nagar,3300.0,4.0,2.0,600.0,4.0,18181.81818181818
Super built-up  Area,Ready To Move,Marathahalli,1310.0,3.0,1.0,63.25,3.0,4828.244274809161
Super built-up  Area,18-Feb,Whitefield,1800.0,2.0,2.0,70.0,3.0,3888.8888888888887
Plot  Area,Ready To Move,Whitefield,2785.0,5.0,3.0,295.0,4.0,10592.45960502693
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1000.0,2.0,1.0,38.0,2.0,3800.0
Built-up  Area,Ready To Move,Gottigere,1100.0,2.0,2.0,40.0,2.0,3636.3636363636365
Plot  Area,Ready To Move,Sarjapur,2250.0,3.0,2.0,148.0,3.0,6577.777777777777
Super built-up  Area,Ready To Move,Mysore Road,1175.0,2.0,2.0,73.5,2.0,6255.31914893617
Super built-up  Area,Ready To Move,Bisuvanahalli,1180.0,3.0,2.0,48.0,3.0,4067.7966101694915
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1540.0,3.0,3.0,60.0,3.0,3896.103896103896
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2770.0,4.0,2.0,290.0,3.0,10469.314079422382
Super built-up  Area,Ready To Move,Manayata Tech Park,1100.0,2.0,2.0,48.0,2.0,4363.636363636364
Super built-up  Area,19-Dec,Binny Pete,1755.0,3.0,1.0,122.0,3.0,6951.5669515669515
Plot  Area,Ready To Move,Thanisandra,2800.0,5.0,2.0,380.0,4.0,13571.42857142857
Super built-up  Area,Ready To Move,Bellandur,1767.0,3.0,1.0,103.0,3.0,5829.088851160159
Super built-up  Area,18-Nov, Thanisandra,510.0,1.0,0.0,25.25,1.0,4950.980392156863
Super built-up  Area,18-May,Mangammanapalya,1250.0,3.0,2.0,56.0,3.0,4480.0
Super built-up  Area,Ready To Move,Electronic City,660.0,1.0,1.0,23.1,2.0,3500.0
Built-up  Area,20-Dec,Whitefield,1610.0,3.0,2.0,81.0,3.0,5031.055900621118
Super built-up  Area,17-Oct,Ramagondanahalli,1151.0,2.0,2.0,48.77,2.0,4237.185056472633
Super built-up  Area,Ready To Move,Electronic City,1025.0,2.0,1.0,47.0,3.0,4585.365853658536
Super built-up  Area,19-Dec,Yelahanka,2475.0,4.0,0.0,186.0,4.0,7515.151515151515
Super built-up  Area,Ready To Move,Bisuvanahalli,1075.0,2.0,1.0,35.0,3.0,3255.813953488372
Super built-up  Area,Ready To Move,Hebbal,1760.0,2.0,2.0,123.0,3.0,6988.636363636364
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1693.0,3.0,3.0,57.39,3.0,3389.84051978736
Built-up  Area,Ready To Move,Kasturi Nagar,1925.0,3.0,2.0,125.0,3.0,6493.506493506494
